dataset_name,series_description,algorithm,hyperparameters
1030-263-classification.csv,"A multivariate classification time-series dataset consists of 4140 samples and 5 features with 5 numerical and 0 categorical features. Each instance has a window length of 7. The dataset has a sampling rate of 1440.0 minutes. The dataset has a missing values percentage of 0.0%. The missing values percentages for numerical features range from 0 to 0 with mean 0.00 and standard deviation 0.00.
 The target column has 2 classes with entropy value 0.99 showing a Balanced dataset. Among the 4140 samples the target ground-truth class has changed 73 times representing a percentage of 1.77%. There are 5 features in the dataset
 Among the numerical predictors, the series has 1 numerical features detected as Stationary out of the 5 numerical features using the dickey-fuller test and the rest are Unstationary. 5 of them are Multiplicative time-series features and the rest are Additive time-series features. There is an average of 0 seasonality components detected in the numerical predictors. The top 0 common seasonality components are represented using sinusoidal waves. The numerical predictors also exhibit skewness values ranging from 0.045. to 4.631 and kurtosis values of 0.56 to 36.60. The fractal dimension analysis yields values ranging from -0.63 to -0.30 indicating a Complex and Irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of -0.14, maximum 1.00, mean 0.60, and standard deviation 0.48. The count of numerical predictors with outliers is 1 with the minimum percentage of 0.00%, maximum percentage of 5.75%, average percentage of 1.15%, and standard deviation percentage of 2.57%.

The dataset is converted into a simple classification task by extracting the previously described features.",AdaboostClassifier,"{'estimator': DecisionTreeClassifier(max_depth=2), 'learning_rate': 1.0, 'n_estimators': 50}"
1016-5-3-5-classification.csv,"A multivariate classification time-series dataset consists of 7108 samples and 8 features with 4 numerical and 4 categorical features. Each instance has a window length of 24. The dataset has a sampling rate of 60.0 minutes. The dataset has a missing values percentage of 0.0%. The missing values percentages for numerical features range from 0 to 0 with mean 0.00 and standard deviation 0.00. Similarly, the missing values percentages for categorical features range from 0 to 0 with mean 0.0 and standard deviation 0.0.
 The target column has 3 classes with entropy value 1.52 showing a Unbalanced dataset. Among the 7108 samples the target ground-truth class has changed 597 times representing a percentage of 8.44%. There are 8 features in the dataset with a ratio of numerical to categorical features of 1.0.
 Among the numerical predictors, the series has 4 numerical features detected as Stationary out of the 4 numerical features using the dickey-fuller test and the rest are Unstationary. 4 of them are Multiplicative time-series features and the rest are Additive time-series features. There is an average of 19 seasonality components detected in the numerical predictors. The top 3 common seasonality components are represented using sinusoidal waves.  of periods 507,546,592 The numerical predictors also exhibit skewness values ranging from 0.163. to 0.683 and kurtosis values of 0.23 to 0.42. The fractal dimension analysis yields values ranging from -0.43 to -0.09 indicating a Complex and Irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of 0.03, maximum 1.00, mean 0.62, and standard deviation 0.45. The count of numerical predictors with outliers is 4 with the minimum percentage of 0.23%, maximum percentage of 2.29%, average percentage of 0.83%, and standard deviation percentage of 0.98%.
 Among the categorical predictors, the count of symbols ranges from 44 to 60 with a minimum entropy value 1.6328104341304133, maximum entropy 5.214669061675053, mean 3.971916573904216, and standard deviation 1.409400683572674,
The dataset is converted into a simple classification task by extracting the previously described features.",ElasticNetClassifier,"{'C': 100.0, 'l1_ratio': 0.0001, 'penalty': 'elasticnet', 'solver': 'saga'}"
1031-34-1-1-1-classification.csv,"A multivariate classification time-series dataset consists of 7667 samples and 16 features with 16 numerical and 0 categorical features. Each instance has a window length of 24. The dataset has a sampling rate of 60.0 minutes. The dataset has a missing values percentage of 0.0%. The missing values percentages for numerical features range from 0 to 0 with mean 0.00 and standard deviation 0.00.
 The target column has 3 classes with entropy value 1.44 showing a Unbalanced dataset. Among the 7667 samples the target ground-truth class has changed 1566 times representing a percentage of 20.52%. There are 16 features in the dataset
 Among the numerical predictors, the series has 16 numerical features detected as Stationary out of the 16 numerical features using the dickey-fuller test and the rest are Unstationary. 14 of them are Multiplicative time-series features and the rest are Additive time-series features. There is an average of 0 seasonality components detected in the numerical predictors. The top 0 common seasonality components are represented using sinusoidal waves. The numerical predictors also exhibit skewness values ranging from 0.030. to 16.326 and kurtosis values of 0.10 to 350.83. The fractal dimension analysis yields values ranging from -0.69 to -0.14 indicating a Complex and Irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of -0.97, maximum 1.00, mean 0.10, and standard deviation 0.52. The count of numerical predictors with outliers is 16 with the minimum percentage of 0.96%, maximum percentage of 18.14%, average percentage of 7.58%, and standard deviation percentage of 5.68%.

The dataset is converted into a simple classification task by extracting the previously described features.",XGBoostClassifier,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 20, 'reg_lambda': 0.2}"
1031-44-2-1-2-classification.csv,"A multivariate classification time-series dataset consists of 7996 samples and 16 features with 16 numerical and 0 categorical features. Each instance has a window length of 24. The dataset has a sampling rate of 60.0 minutes. The dataset has a missing values percentage of 0.0%. The missing values percentages for numerical features range from 0 to 0 with mean 0.00 and standard deviation 0.00.
 The target column has 3 classes with entropy value 1.37 showing a Unbalanced dataset. Among the 7996 samples the target ground-truth class has changed 1284 times representing a percentage of 16.13%. There are 16 features in the dataset
 Among the numerical predictors, the series has 16 numerical features detected as Stationary out of the 16 numerical features using the dickey-fuller test and the rest are Unstationary. 13 of them are Multiplicative time-series features and the rest are Additive time-series features. There is an average of 0 seasonality components detected in the numerical predictors. The top 0 common seasonality components are represented using sinusoidal waves. The numerical predictors also exhibit skewness values ranging from 0.020. to 19.426 and kurtosis values of 0.68 to 542.74. The fractal dimension analysis yields values ranging from -0.64 to -0.12 indicating a Complex and Irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of -0.96, maximum 1.00, mean 0.13, and standard deviation 0.48. The count of numerical predictors with outliers is 16 with the minimum percentage of 2.60%, maximum percentage of 37.69%, average percentage of 29.20%, and standard deviation percentage of 9.47%.

The dataset is converted into a simple classification task by extracting the previously described features.",RandomForestClassifier,"{'max_depth': 10, 'n_estimators': 50}"
3001-97.csv,"A multivariate classification time-series dataset consists of 1168 samples and 1 features with 1 numerical and 0 categorical features. Each instance has a window length of 4. The dataset has a sampling rate of 360.0 minutes. The dataset has a missing values percentage of 0.0%. The missing values percentages for numerical features range from 0 to 0 with mean 0.00
 The target column has 3 classes with entropy value 1.47 showing a Unbalanced dataset. Among the 1168 samples the target ground-truth class has changed 789 times representing a percentage of 68.13%. There are 1 features in the dataset
 Among the numerical predictors, the series has 0 numerical features detected as Stationary out of the 1 numerical features using the dickey-fuller test and the rest are Unstationary. 1 of them are Multiplicative time-series features and the rest are Additive time-series features. There is an average of 0 seasonality components detected in the numerical predictors. The top 0 common seasonality components are represented using sinusoidal waves. The numerical predictors also exhibit skewness values ranging from 1.915. to 1.915 and kurtosis values of 4.54 to 4.54. The fractal dimension analysis yields values ranging from -1.11 to -1.11 indicating a Complex and Irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of 1.00, maximum 1.00, mean 1.00, and standard deviation 0.00. The count of numerical predictors with outliers is 1 with the minimum percentage of 5.70%, maximum percentage of 5.70%, average percentage of 5.70%,

The dataset is converted into a simple classification task by extracting the previously described features.",RandomForestClassifier,"{'max_depth': 10, 'n_estimators': 100}"
1031-40-2-1-5-classification.csv,"A multivariate classification time-series dataset consists of 6861 samples and 16 features with 16 numerical and 0 categorical features. Each instance has a window length of 24. The dataset has a sampling rate of 60.0 minutes. The dataset has a missing values percentage of 0.0%. The missing values percentages for numerical features range from 0 to 0 with mean 0.00 and standard deviation 0.00.
 The target column has 3 classes with entropy value 1.43 showing a Unbalanced dataset. Among the 6861 samples the target ground-truth class has changed 1462 times representing a percentage of 21.41%. There are 16 features in the dataset
 Among the numerical predictors, the series has 16 numerical features detected as Stationary out of the 16 numerical features using the dickey-fuller test and the rest are Unstationary. 14 of them are Multiplicative time-series features and the rest are Additive time-series features. There is an average of 0 seasonality components detected in the numerical predictors. The top 0 common seasonality components are represented using sinusoidal waves. The numerical predictors also exhibit skewness values ranging from 0.021. to 11.774 and kurtosis values of 0.02 to 211.42. The fractal dimension analysis yields values ranging from -0.70 to -0.12 indicating a Complex and Irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of -0.95, maximum 1.00, mean 0.08, and standard deviation 0.51. The count of numerical predictors with outliers is 16 with the minimum percentage of 3.82%, maximum percentage of 11.84%, average percentage of 7.35%, and standard deviation percentage of 2.54%.

The dataset is converted into a simple classification task by extracting the previously described features.",XGBoostClassifier,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 20, 'reg_lambda': 0.2}"
1031-17-1-1-6-classification.csv,"A multivariate classification time-series dataset consists of 7409 samples and 16 features with 16 numerical and 0 categorical features. Each instance has a window length of 24. The dataset has a sampling rate of 60.0 minutes. The dataset has a missing values percentage of 0.0%. The missing values percentages for numerical features range from 0 to 0 with mean 0.00 and standard deviation 0.00.
 The target column has 3 classes with entropy value 1.44 showing a Unbalanced dataset. Among the 7409 samples the target ground-truth class has changed 1437 times representing a percentage of 19.48%. There are 16 features in the dataset
 Among the numerical predictors, the series has 16 numerical features detected as Stationary out of the 16 numerical features using the dickey-fuller test and the rest are Unstationary. 16 of them are Multiplicative time-series features and the rest are Additive time-series features. There is an average of 0 seasonality components detected in the numerical predictors. The top 0 common seasonality components are represented using sinusoidal waves. The numerical predictors also exhibit skewness values ranging from 0.037. to 14.048 and kurtosis values of 0.04 to 269.09. The fractal dimension analysis yields values ranging from -0.69 to -0.12 indicating a Complex and Irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of -0.88, maximum 1.00, mean 0.09, and standard deviation 0.51. The count of numerical predictors with outliers is 15 with the minimum percentage of 0.00%, maximum percentage of 12.39%, average percentage of 6.54%, and standard deviation percentage of 3.51%.

The dataset is converted into a simple classification task by extracting the previously described features.",AdaboostClassifier,"{'estimator': DecisionTreeClassifier(max_depth=2), 'learning_rate': 1.0, 'n_estimators': 50}"
1020-32-3-classification.csv,"A multivariate classification time-series dataset consists of 7012 samples and 11 features with 9 numerical and 2 categorical features. Each instance has a window length of 24. The dataset has a sampling rate of 60.0 minutes. The dataset has a missing values percentage of 0.0%. The missing values percentages for numerical features range from 0 to 0 with mean 0.00 and standard deviation 0.00. Similarly, the missing values percentages for categorical features range from 0 to 0 with mean 0.0 and standard deviation 0.0.
 The target column has 2 classes with entropy value 0.97 showing a Unbalanced dataset. Among the 7012 samples the target ground-truth class has changed 666 times representing a percentage of 9.54%. There are 11 features in the dataset with a ratio of numerical to categorical features of 4.5.
 Among the numerical predictors, the series has 9 numerical features detected as Stationary out of the 9 numerical features using the dickey-fuller test and the rest are Unstationary. 9 of them are Multiplicative time-series features and the rest are Additive time-series features. There is an average of 33 seasonality components detected in the numerical predictors. The top 3 common seasonality components are represented using sinusoidal waves.  of periods 584,1402,2337 The numerical predictors also exhibit skewness values ranging from 0.304. to 4.896 and kurtosis values of 0.43 to 53.32. The fractal dimension analysis yields values ranging from -0.63 to -0.12 indicating a Complex and Irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of -0.81, maximum 1.00, mean 0.13, and standard deviation 0.50. The count of numerical predictors with outliers is 7 with the minimum percentage of 0.00%, maximum percentage of 10.76%, average percentage of 3.66%, and standard deviation percentage of 3.87%.
 Among the categorical predictors, the count of symbols ranges from 17 to 75 with a minimum entropy value 0.6433163799985939, maximum entropy 3.9107238595228773, mean 2.277020119760736, and standard deviation 1.6337037397621417,
The dataset is converted into a simple classification task by extracting the previously described features.",RandomForestClassifier,"{'max_depth': 10, 'n_estimators': 30}"
1020-1-4-classification.csv,"A multivariate classification time-series dataset consists of 7012 samples and 11 features with 9 numerical and 2 categorical features. Each instance has a window length of 24. The dataset has a sampling rate of 60.0 minutes. The dataset has a missing values percentage of 0.0%. The missing values percentages for numerical features range from 0 to 0 with mean 0.00 and standard deviation 0.00. Similarly, the missing values percentages for categorical features range from 0 to 0 with mean 0.0 and standard deviation 0.0.
 The target column has 3 classes with entropy value 1.43 showing a Unbalanced dataset. Among the 7012 samples the target ground-truth class has changed 666 times representing a percentage of 9.54%. There are 11 features in the dataset with a ratio of numerical to categorical features of 4.5.
 Among the numerical predictors, the series has 8 numerical features detected as Stationary out of the 9 numerical features using the dickey-fuller test and the rest are Unstationary. 9 of them are Multiplicative time-series features and the rest are Additive time-series features. There is an average of 50 seasonality components detected in the numerical predictors. The top 3 common seasonality components are represented using sinusoidal waves.  of periods 779,1168,1402 The numerical predictors also exhibit skewness values ranging from 0.369. to 3.030 and kurtosis values of 0.43 to 11.49. The fractal dimension analysis yields values ranging from -0.68 to -0.14 indicating a Complex and Irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of -0.79, maximum 1.00, mean 0.11, and standard deviation 0.51. The count of numerical predictors with outliers is 7 with the minimum percentage of 0.00%, maximum percentage of 9.56%, average percentage of 3.60%, and standard deviation percentage of 3.73%.
 Among the categorical predictors, the count of symbols ranges from 17 to 67 with a minimum entropy value 0.4717944249220278, maximum entropy 3.9242187552322045, mean 2.198006590077116, and standard deviation 1.7262121651550884,
The dataset is converted into a simple classification task by extracting the previously described features.",RandomForestClassifier,"{'max_depth': 10, 'n_estimators': 50}"
1031-15-2-1-6-classification.csv,"A multivariate classification time-series dataset consists of 7208 samples and 16 features with 15 numerical and 1 categorical features. Each instance has a window length of 24. The dataset has a sampling rate of 60.0 minutes. The dataset has a missing values percentage of 0.0%. The missing values percentages for numerical features range from 0 to 0 with mean 0.00 and standard deviation 0.00. Similarly, the missing values percentages for categorical features range from 0 to 0 with mean 0.0
 The target column has 3 classes with entropy value 1.35 showing a Unbalanced dataset. Among the 7208 samples the target ground-truth class has changed 643 times representing a percentage of 8.96%. There are 16 features in the dataset with a ratio of numerical to categorical features of 15.0.
 Among the numerical predictors, the series has 15 numerical features detected as Stationary out of the 15 numerical features using the dickey-fuller test and the rest are Unstationary. 12 of them are Multiplicative time-series features and the rest are Additive time-series features. There is an average of 0 seasonality components detected in the numerical predictors. The top 0 common seasonality components are represented using sinusoidal waves. The numerical predictors also exhibit skewness values ranging from 0.010. to 2.434 and kurtosis values of 0.59 to 11.52. The fractal dimension analysis yields values ranging from -0.72 to -0.07 indicating a Complex and Irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of -0.92, maximum 1.00, mean 0.10, and standard deviation 0.54. The count of numerical predictors with outliers is 15 with the minimum percentage of 10.06%, maximum percentage of 47.37%, average percentage of 29.59%, and standard deviation percentage of 12.88%.
 Among the categorical predictors, the count of symbols ranges from 56 to 56 with a minimum entropy value 0.30925660127447147, maximum entropy 0.30925660127447147, mean 0.30925660127447147, and standard deviation 0.0,
The dataset is converted into a simple classification task by extracting the previously described features.",AdaboostClassifier,"{'estimator': DecisionTreeClassifier(max_depth=2), 'learning_rate': 1.0, 'n_estimators': 50}"
