dataset_name,series_description,algorithm,hyperparameters
1031-11-2-1-3.csv,"A multivariate regression time-series dataset consists of 6671 instances and 16 features. All features in the dataset are numerical.  The dataset has a sampling rate of 60.0 minutes. The percentage of missing values in the target column is 0.0%. he missing values percentages for numerical features range from 0% to 53900% with mean 3833.33%, and standard deviation 13881.52%. The target series has a minimum value -9999.0, maximum value 38.0, median 25.0, mean -157.38363363363365, and average standard deviation of 0.04269517847486083 for the 10 percentiles. The series is detected as stationary using dickey fuller test . The series has 5 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 5 lags ranges from 0.9769540223065372 for the lag number 1 to -0.06243832687192593 for the lag number 6. There exist 1 insignificant lags at these indices 4 between the first and the last significant ones.  The series looks to be a multiplicative time-series with a linear trend.  There are no seasonality components detected in the series The series exhibits a skewness value of 7.185466342450635 and a kurtosis value of 49.646234702492976. The Fractal dimension analysis yields a value of -0.7607292722474958, indicating a Complex and irregular time-series structure.  Among the numerical predictors, the series has 100.0% of the numerical features detected as stationary. There are no seasonality components detected in the numerical predictors. the numerical predictors also exhibit skewness values ranging from 0.016353069359259974 to 7.1545772469699225, and kurtosis values of 1.9182749278058995 to 49.20283362276142. The fractal dimension analysis yields values ranging from -0.8488233444131198 to -0.047564584810116634 indicating a Complex and irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of 0.13178304200918714, maximum 1.0, mean 0.8908550736041468, and standard deviation 0.2834780501104511.  The dataset is converted into a simple regression task by extracting the previously described features.",ExtraTreesRegressor,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 512, 'random_state': 42, 'warm_start': True}"
1016-5-2-4.csv,"A multivariate regression time-series dataset consists of 7116 instances and 9 features. The percentage of numerical features to categorical features in the dataset is 1.67  The dataset has a sampling rate of 60.0 minutes. The percentage of missing values in the target column is 0.07%. he missing values percentages for numerical features range from 1300% to 219600% with mean 89360.0%, and standard deviation 118894.71%.Similarly, the missing values percentages for categorical features range from 500% to 3000% with mean 2100.0%, and standard deviation 1389.24%. The target series has a minimum value -2.6, maximum value 25.0, median 10.8, mean 10.68851448763251, and average standard deviation of 0.11676200564361194 for the 10 percentiles. The series is detected as stationary using dickey fuller test . The series has 8 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 8 lags ranges from 0.9500472900716296 for the lag number 1 to 0.06013519024947012 for the lag number 10. There exist 2 insignificant lags at these indices 6,7 between the first and the last significant ones.  The series looks to be a multiplicative time-series with a linear trend.  There are no seasonality components detected in the series The series exhibits a skewness value of 0.22145256710171318 and a kurtosis value of 0.0005468646268442789. The Fractal dimension analysis yields a value of -0.26976753263183234, indicating a Complex and irregular time-series structure.  Among the numerical predictors, the series has 100.0% of the numerical features detected as stationary. There are no seasonality components detected in the numerical predictors. the numerical predictors also exhibit skewness values ranging from 0.14549380144617383 to 1.0955114547437195, and kurtosis values of 0.036829535669101965 to 0.8759731413346503. The fractal dimension analysis yields values ranging from -0.437620180418455 to -0.08475790559092895 indicating a Complex and irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of -0.20572695423938242, maximum 1.0, mean 0.38735393168677545, and standard deviation 0.4992736899714815. Among the categorical predictors, the count of symbols ranges from 49 to 66 with a minimum entropy value 1.6398575791864727, maximum entropy 4.999841901048605, mean 3.6020797091353374, and standard deviation 1.4285971970258553. The dataset is converted into a simple regression task by extracting the previously described features.",ElasticNetRegressor,"{'l1_ratio': 0.3, 'random_state': 42, 'selection': 'random'}"
1030-479.csv,"A multivariate regression time-series dataset consists of 4140 instances and 6 features. All features in the dataset are numerical.  The dataset has a sampling rate of 1440.0 minutes. The percentage of missing values in the target column is 0.0%. he missing values percentages for numerical features range from 0% to 0% with mean 0.0%, and standard deviation 0.0%. The target series has a minimum value 26.36000061035156, maximum value 96.68000030517578, median 56.28749942779541, mean 57.91920438393694, and average standard deviation of 0.08548251365719145 for the 10 percentiles. The series is detected as non-stationary using dickey fuller test and it turns into a stationary series using first order differencing.  The series has 2 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 2 lags ranges from 0.9989910052627007 for the lag number 1 to -0.03486147724248079 for the lag number 2.There are no insignificant lags in between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend.  There are no seasonality components detected in the series The series exhibits a skewness value of 0.1040844073773379 and a kurtosis value of 1.3763731970268913. The Fractal dimension analysis yields a value of -0.36916936495108427, indicating a Complex and irregular time-series structure.  Among the numerical predictors, the series has 20.0% of the numerical features detected as stationary. There are no seasonality components detected in the numerical predictors. the numerical predictors also exhibit skewness values ranging from 0.05869464955635664 to 5.1783025321043485, and kurtosis values of 1.3750575303985793 to 64.68963424793566. The fractal dimension analysis yields values ranging from -0.6384833138331474 to -0.3053209234422311 indicating a Complex and irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of -0.31863185318384946, maximum 1.0, mean 0.5774901342299172, and standard deviation 0.608946539535172.  The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 1e-05, 'random_state': 42, 'selection': 'random'}"
1031-102-1.csv,"A multivariate regression time-series dataset consists of 1964 instances and 17 features. All features in the dataset are numerical.  The dataset has a sampling rate of 60.0 minutes. The percentage of missing values in the target column is 0.0%. he missing values percentages for numerical features range from 0% to 0% with mean 0.0%, and standard deviation 0.0%. The target series has a minimum value 20.7, maximum value 33.9, median 24.8, mean 25.710138248847926, and average standard deviation of 0.21105887849723076 for the 10 percentiles. The series is detected as stationary using dickey fuller test . The series has 7 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 7 lags ranges from 0.9116030454878326 for the lag number 1 to -0.0573449318854676 for the lag number 7.There are no insignificant lags in between the first and the last significant ones. The series looks to be a multiplicative time-series with a linear trend.  There are no seasonality components detected in the series The series exhibits a skewness value of 0.8959288631935626 and a kurtosis value of 0.17596460676451064. The Fractal dimension analysis yields a value of -0.21393006362879624, indicating a Complex and irregular time-series structure.  Among the numerical predictors, the series has 100.0% of the numerical features detected as stationary. There are no seasonality components detected in the numerical predictors. the numerical predictors also exhibit skewness values ranging from 0.06355458623544206 to 9.769623265130688, and kurtosis values of 0.032206387347025967 to 126.56748891711186. The fractal dimension analysis yields values ranging from -0.7777485768005957 to -0.11808496531377434 indicating a Complex and irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of -0.9711097696745369, maximum 1.0, mean 0.09482983799795588, and standard deviation 0.47786314619735054.  The dataset is converted into a simple regression task by extracting the previously described features.",XGBoostRegressor,"{'colsample_bytree': 1.0, 'gamma': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'random_state': 42, 'reg_lambda': 0.8, 'subsample': 1}"
1031-55-2-1-1.csv,"A multivariate regression time-series dataset consists of 7092 instances and 17 features. The percentage of numerical features to categorical features in the dataset is 15.0  The dataset has a sampling rate of 60.0 minutes. The percentage of missing values in the target column is 3.02%. he missing values percentages for numerical features range from 21400% to 211700% with mean 34613.33%, and standard deviation 48993.02%. The target series has a minimum value 18.3, maximum value 38.6, median 27.1, mean 27.773548057815958, and average standard deviation of 0.18089168385320636 for the 10 percentiles. The series is detected as stationary using dickey fuller test . The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.9479472735376481 for the lag number 1 to -0.023614393756254095 for the lag number 9.There are no insignificant lags in between the first and the last significant ones. The series looks to be a multiplicative time-series with a linear trend.  There are no seasonality components detected in the series The series exhibits a skewness value of 0.3640676564923187 and a kurtosis value of 0.8126534786313386. The Fractal dimension analysis yields a value of -0.10840527767301647, indicating a Complex and irregular time-series structure.  Among the numerical predictors, the series has 100.0% of the numerical features detected as stationary. There are no seasonality components detected in the numerical predictors. the numerical predictors also exhibit skewness values ranging from 0.017093045849612545 to 1.254176721631817, and kurtosis values of 0.03952058981677542 to 1.8586925321138783. The fractal dimension analysis yields values ranging from -0.7911302125312958 to -0.07539180612297408 indicating a Complex and irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of -0.9168748935679603, maximum 1.0, mean 0.14048121012934905, and standard deviation 0.5484403498318124. Among the categorical predictors, the count of symbols ranges from 64 to 64 with a minimum entropy value 0.35061709263436674, maximum entropy 0.35061709263436674, mean 0.35061709263436674, and standard deviation 0.0. The dataset is converted into a simple regression task by extracting the previously described features.",RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}"
1016-4-3-4.csv,"A multivariate regression time-series dataset consists of 7109 instances and 13 features. The percentage of numerical features to categorical features in the dataset is 0.5  The dataset has a sampling rate of 60.0 minutes. The percentage of missing values in the target column is 0.0%. he missing values percentages for numerical features range from 0% to 0% with mean 0.0%, and standard deviation 0.0%.Similarly, the missing values percentages for categorical features range from 0% to 0% with mean 0.0%, and standard deviation 0.0%. The target series has a minimum value -0.9, maximum value 27.6, median 12.0, mean 11.790462102000566, and average standard deviation of 0.08965326579351315 for the 10 percentiles. The series is detected as stationary using dickey fuller test . The series has 8 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 8 lags ranges from 0.9784111109370323 for the lag number 1 to 0.07326835844072309 for the lag number 10. There exist 2 insignificant lags at these indices 5,6 between the first and the last significant ones.  The series looks to be a additive time-series with a linear trend.  There are no seasonality components detected in the series The series exhibits a skewness value of 0.054679766420206444 and a kurtosis value of 0.1172141834328424. The Fractal dimension analysis yields a value of -0.3062991359366108, indicating a Complex and irregular time-series structure.  Among the numerical predictors, the series has 100.0% of the numerical features detected as stationary. There are no seasonality components detected in the numerical predictors. the numerical predictors also exhibit skewness values ranging from 0.15367859584383484 to 0.5247302335237204, and kurtosis values of 0.2389400765016756 to 0.7823293578279973. The fractal dimension analysis yields values ranging from -0.49938499734756503 to -0.08535408726144085 indicating a Complex and irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of 0.011870310134788519, maximum 1.0, mean 0.6245810639754862, and standard deviation 0.4638647812188936. Among the categorical predictors, the count of symbols ranges from 9 to 59 with a minimum entropy value 1.3672245203443218, maximum entropy 5.198934743663562, mean 3.712225118110181, and standard deviation 1.421857737465675. The dataset is converted into a simple regression task by extracting the previously described features.",XGBoostRegressor,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 50, 'random_state': 42, 'subsample': 0.8}"
1031-44-1-1-6.csv,"A multivariate regression time-series dataset consists of 7619 instances and 17 features. The percentage of numerical features to categorical features in the dataset is 1.67  The dataset has a sampling rate of 60.0 minutes. The percentage of missing values in the target column is 0.0%. he missing values percentages for numerical features range from 0% to 600600% with mean 115470.0%, and standard deviation 243678.74%.Similarly, the missing values percentages for categorical features range from 0% to 0% with mean 0.0%, and standard deviation 0.0%. The target series has a minimum value -9999.0, maximum value 34.7, median 26.2, mean 22.87605152471083, and average standard deviation of 0.006479041900489271 for the 10 percentiles. The series is detected as stationary using dickey fuller test . The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.666400408844591 for the lag number 1 to 0.1665933666123062 for the lag number 10.There are no insignificant lags in between the first and the last significant ones. The series looks to be a multiplicative time-series with a linear trend.  There are no seasonality components detected in the series The series exhibits a skewness value of 50.327475090905295 and a kurtosis value of 2531.902275646205. The Fractal dimension analysis yields a value of -0.1709503394556182, indicating a Complex and irregular time-series structure.  Among the numerical predictors, the series has 90.0% of the numerical features detected as stationary. There are no seasonality components detected in the numerical predictors. the numerical predictors also exhibit skewness values ranging from 0.20711239451195443 to 50.33125057782025, and kurtosis values of 1.844010545548577 to 2532.1555423219793. The fractal dimension analysis yields values ranging from -0.8383976152453586 to -0.026187259251314102 indicating a Complex and irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of 0.008476934368889138, maximum 1.0, mean 0.5848335113595674, and standard deviation 0.379063766418168. Among the categorical predictors, the count of symbols ranges from 54 to 74 with a minimum entropy value 4.848041838742334, maximum entropy 5.282354950810259, mean 5.062396601455618, and standard deviation 0.1266429449384724. The dataset is converted into a simple regression task by extracting the previously described features.",AdaboostRegressor,"{'learning_rate': 1.0, 'n_estimators': 50, 'random_state': 42}"
1031-32-1-1-5.csv,"A multivariate regression time-series dataset consists of 7550 instances and 17 features. All features in the dataset are numerical.  The dataset has a sampling rate of 60.0 minutes. The percentage of missing values in the target column is 10.83%. he missing values percentages for numerical features range from 81800% to 265500% with mean 101950.0%, and standard deviation 51627.91%. The target series has a minimum value 16.2, maximum value 39.1, median 25.560295231848787, mean 26.673070775897244, and average standard deviation of 0.1685064014852245 for the 10 percentiles. The series is detected as stationary using dickey fuller test . The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.9384549446658651 for the lag number 1 to -0.02363483987865425 for the lag number 9.There are no insignificant lags in between the first and the last significant ones. The series looks to be a multiplicative time-series with a linear trend.  There are no seasonality components detected in the series The series exhibits a skewness value of 0.4932478454514621 and a kurtosis value of 0.6729389935639771. The Fractal dimension analysis yields a value of -0.13814556026243052, indicating a Complex and irregular time-series structure.  Among the numerical predictors, the series has 100.0% of the numerical features detected as stationary. There are no seasonality components detected in the numerical predictors. the numerical predictors also exhibit skewness values ranging from 0.035180897115458534 to 17.95208670350834, and kurtosis values of 0.10084977842945309 to 421.50118376922404. The fractal dimension analysis yields values ranging from -0.7956869332129424 to -0.08883537258267474 indicating a Complex and irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of -0.928284567127938, maximum 1.0, mean 0.10002079778448278, and standard deviation 0.5089890173135975.  The dataset is converted into a simple regression task by extracting the previously described features.",ExtraTreesRegressor,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 30, 'random_state': 42}"
1031-25-1-1-1.csv,"A multivariate regression time-series dataset consists of 7715 instances and 17 features. The percentage of numerical features to categorical features in the dataset is 4.33  The dataset has a sampling rate of 60.0 minutes. The percentage of missing values in the target column is 0.0%. he missing values percentages for numerical features range from 0% to 478900% with mean 37430.77%, and standard deviation 132658.99%.Similarly, the missing values percentages for categorical features range from 0% to 0% with mean 0.0%, and standard deviation 0.0%. The target series has a minimum value -9999.0, maximum value 33.7, median 24.1, mean -1360.4516095534786, and average standard deviation of 0.11329410624826977 for the 10 percentiles. The series is detected as stationary using dickey fuller test . The series has 5 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 5 lags ranges from 0.9936655143244211 for the lag number 1 to 0.03455565567622642 for the lag number 6. There exist 1 insignificant lags at these indices 4 between the first and the last significant ones.  The series looks to be a multiplicative time-series with a linear trend.  There are no seasonality components detected in the series The series exhibits a skewness value of 2.0966449757145953 and a kurtosis value of 2.396546909058792. The Fractal dimension analysis yields a value of -0.23254320774791118, indicating a Complex and irregular time-series structure.  Among the numerical predictors, the series has 92.31% of the numerical features detected as stationary. There are no seasonality components detected in the numerical predictors. the numerical predictors also exhibit skewness values ranging from 0.18321659047731503 to 2.095069222412497, and kurtosis values of 0.2088314036382628 to 2.3899361290497336. The fractal dimension analysis yields values ranging from -0.6393569933347593 to -0.05491177790125683 indicating a Complex and irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of 0.33600801006457354, maximum 1.0, mean 0.8922961397291694, and standard deviation 0.21782763934014168. Among the categorical predictors, the count of symbols ranges from 65 to 71 with a minimum entropy value 4.970910198737255, maximum entropy 5.395675770645625, mean 5.1913530734899895, and standard deviation 0.17378404772203684. The dataset is converted into a simple regression task by extracting the previously described features.",AdaboostRegressor,"{'learning_rate': 0.01, 'n_estimators': 50, 'random_state': 42}"
1031-29-1-1-2.csv,"A multivariate regression time-series dataset consists of 7464 instances and 16 features. All features in the dataset are numerical.  The dataset has a sampling rate of 60.0 minutes. The percentage of missing values in the target column is 0.11%. he missing values percentages for numerical features range from 800% to 212300% with mean 14900.0%, and standard deviation 54609.07%. The target series has a minimum value 20.4, maximum value 36.0, median 26.4, mean 27.12802236966407, and average standard deviation of 0.187366693329846 for the 10 percentiles. The series is detected as stationary using dickey fuller test . The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.944773077255442 for the lag number 1 to -0.028662171386803444 for the lag number 9.There are no insignificant lags in between the first and the last significant ones. The series looks to be a multiplicative time-series with a linear trend.  There are no seasonality components detected in the series The series exhibits a skewness value of 0.4969613371673312 and a kurtosis value of 0.8142089569273927. The Fractal dimension analysis yields a value of -0.13660198923311037, indicating a Complex and irregular time-series structure.  Among the numerical predictors, the series has 100.0% of the numerical features detected as stationary. There are no seasonality components detected in the numerical predictors. the numerical predictors also exhibit skewness values ranging from 0.04694847851343276 to 1.303846451065738, and kurtosis values of 0.13308547411502714 to 1.5718171672365457. The fractal dimension analysis yields values ranging from -0.7628546941699046 to -0.07544874638577606 indicating a Complex and irregular time-series structure for the numerical predictors. The correlation values among the numerical predictors have a minimum of -0.9336707963973669, maximum 1.0, mean 0.15287896972736478, and standard deviation 0.49761483407208895.  The dataset is converted into a simple regression task by extracting the previously described features.",RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}"
