dataset_name,series_description,algorithm,hyperparameters
67.csv,"A univariate time-series dataset  consists of 648 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 480 minutes, minimum value of -1.281900892748634, maximum value of 1.2575716095378922, median value of -0.840998218756287, mean value of -0.3999772916658776, and average standard deviation of 0.22521469337610456 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 5 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 5 lags ranges from 0.8334505732654578 for the lag number 1 to -0.2410743207663815 for the lag number 6. There exist 1 insignificant lags at these indices 3 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 20.The series exhibits a skewness value of 0.774998370091653 and a kurtosis value of 0.9486342195673352. The Fractal dimension analysis yields a value of -0.4916491105113366, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",XGBoostRegressor,"{'colsample_bytree': 1.0, 'gamma': 1.16467595, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'random_state': 42, 'reg_lambda': 0.8, 'subsample': 1}"
335.csv,"A univariate time-series dataset  consists of 5760 samples with a missing values percentage of 0.0% imputed using FBProphet model and 4.826388888888889% detected outliers. The target series has a sampling rate of 30 minutes, minimum value of -1.3327249393311884, maximum value of 1.3290006441545716, median value of -0.837102440111593, mean value of -0.5832298857283066, and average standard deviation of 0.19129701117888212 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 9 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 9 lags ranges from 0.8502403616094402 for the lag number 1 to -0.09921379876151662 for the lag number 10. There exist 1 insignificant lags at these indices 5 between the first and the last significant ones. The series looks to be a multiplicative time-series with a linear trend. There are 4 seasonality components detected in this series represented as sinusoidal waves with periods 338,55,47,42.The series exhibits a skewness value of 1.2542109283425018 and a kurtosis value of 0.5034744543991527. The Fractal dimension analysis yields a value of -0.7188499404935836, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ExtraTreesRegressor,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 512, 'random_state': 42, 'warm_start': True}"
500.csv,"A univariate time-series dataset  consists of 13824 samples with a missing values percentage of 0.03616898148148148% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 10 minutes, minimum value of -1.2070164341473617, maximum value of 1.2728822413205232, median value of 0.302074671744615, mean value of 0.2892785899552027, and average standard deviation of 0.19839495022988077 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 9 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 9 lags ranges from 0.8604677955707073 for the lag number 1 to -0.0326484919380294 for the lag number 10. There exist 1 insignificant lags at these indices 8 between the first and the last significant ones. The series looks to be a additive time-series with a linear trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 144.The series exhibits a skewness value of 0.08441606199191928 and a kurtosis value of 1.046186380514944. The Fractal dimension analysis yields a value of -0.8071594022448103, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",RandomForestRegressor,"{'max_depth': 10, 'n_estimators': 200, 'random_state': 42}"
228.csv,"A univariate time-series dataset  consists of 6336 samples with a missing values percentage of 0.015782828282828284% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 60 minutes, minimum value of -1.3097427268028723, maximum value of 0.9906463804940266, median value of 0.0, mean value of -0.32943557130843015, and average standard deviation of 0.09312208993832154 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.848311387166786 for the lag number 1 to 0.08752551937988341 for the lag number 10.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a logistic trend. There are 5 seasonality components detected in this series represented as sinusoidal waves with periods 1583,905,633,487,395.The series exhibits a skewness value of 0.5352706932315553 and a kurtosis value of 1.1983373868186615. The Fractal dimension analysis yields a value of -0.9607383075705128, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 0.0010250274965966633, 'random_state': 42, 'selection': 'random'}"
232.csv,"A univariate time-series dataset  consists of 96 samples with a missing values percentage of 0.0% imputed using FBProphet model and 9.375% detected outliers. The target series has a sampling rate of 1440 minutes, minimum value of -1.0632144090496594, maximum value of 1.3081156489677577, median value of 0.9840701804390166, mean value of 0.8546767527156142, and average standard deviation of 0.12893983172741863 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has only 1 significant laf observed using the partial autocorrelation function (pACF) with value 0.5295010679638673.The series looks to be a multiplicative time-series with a linear trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 19.The series exhibits a skewness value of 3.105975424763626 and a kurtosis value of 8.843170878475522. The Fractal dimension analysis yields a value of -0.7655406229023282, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",RandomForestRegressor,"{'max_depth': 5, 'n_estimators': 100, 'random_state': 42}"
425.csv,"A univariate time-series dataset  consists of 6912 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 10 minutes, minimum value of -1.19404540340311, maximum value of 1.2535430436716164, median value of 0.4836983238403355, mean value of 0.3714671235645748, and average standard deviation of 0.1873756809669299 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 9 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 9 lags ranges from 0.8533164753824899 for the lag number 1 to -0.032019866348644815 for the lag number 10. There exist 1 insignificant lags at these indices 9 between the first and the last significant ones. The series looks to be a multiplicative time-series with a linear trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 144.The series exhibits a skewness value of 0.6464887481803333 and a kurtosis value of 0.5118247782034797. The Fractal dimension analysis yields a value of -0.8532501875817871, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ExtraTreesRegressor,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 512, 'random_state': 42, 'warm_start': True}"
240.csv,"A univariate time-series dataset  consists of 17280 samples with a missing values percentage of 0.028935185185185182% imputed using FBProphet model and 3.246527777777778% detected outliers. The target series has a sampling rate of 10 minutes, minimum value of -1.3713189795975786, maximum value of 1.3957800753570742, median value of 0.952351838519538, mean value of 0.5069002404358512, and average standard deviation of 0.12002301674973548 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.9057756159842723 for the lag number 1 to 0.08804620849815631 for the lag number 10.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a logistic trend. There are 7 seasonality components detected in this series represented as sinusoidal waves with periods 180,151,128,110,99,92,72.The series exhibits a skewness value of 1.154270712074431 and a kurtosis value of 0.5464896383876754. The Fractal dimension analysis yields a value of -0.9631905945919433, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",AdaboostRegressor,"{'estimator': DecisionTreeRegressor(max_depth=5), 'learning_rate': 0.01, 'loss': 'square', 'n_estimators': 10, 'random_state': 42}"
488.csv,"A univariate time-series dataset  consists of 2304 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 60 minutes, minimum value of -1.404279922427681, maximum value of 1.2510949202599098, median value of 0.0, mean value of -0.04224989180908763, and average standard deviation of 0.26478738664342993 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.8910054073986141 for the lag number 1 to -0.06428527535662307 for the lag number 9.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 24.The series exhibits a skewness value of 0.05569655725826444 and a kurtosis value of 1.4311852869716504. The Fractal dimension analysis yields a value of -0.28748678078265955, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ExtraTreesRegressor,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'random_state': 42, 'warm_start': True}"
219.csv,"A univariate time-series dataset  consists of 144 samples with a missing values percentage of 0.6944444444444444% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 1440 minutes, minimum value of -1.2111983823718453, maximum value of 1.1897131398762897, median value of 0.8996976302226105, mean value of 0.2597671786018312, and average standard deviation of 0.11928514915507664 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 3 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 3 lags ranges from 0.9172757239634026 for the lag number 1 to 0.258164378215081 for the lag number 3.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 36.The series exhibits a skewness value of 0.5589631092769922 and a kurtosis value of 1.635808750303685. The Fractal dimension analysis yields a value of -0.8647915697360903, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ExtraTreesRegressor,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 512, 'random_state': 42, 'warm_start': True}"
267.csv,"A univariate time-series dataset  consists of 168 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 1440 minutes, minimum value of -0.9903029813245838, maximum value of 1.241910547909054, median value of 0.8591470090614078, mean value of 0.5116822702759846, and average standard deviation of 0.19122919288783052 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 7 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 7 lags ranges from 0.694247636808881 for the lag number 1 to -0.15302915000412398 for the lag number 10. There exist 3 insignificant lags at these indices 3,8,9 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 7.The series exhibits a skewness value of 0.8283021788507906 and a kurtosis value of 0.7936834210710821. The Fractal dimension analysis yields a value of -0.6238934133084733, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",RandomForestRegressor,"{'max_depth': 20, 'n_estimators': 100, 'random_state': 42}"
