class,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
XGBRegressor,10,13821,1383,1382,0.3,4.992465884583631,4.121475054229935,5.571635311143271,0.4489697353421885,4.992465884583631,4.121475054229935,5.571635311143271,0.4489697353421885,3,3,0,0.1666666666666666,0.072566663,1.1289151943589609e-05,1.305305017292974,0.2456136575521862,1.3473565423922125,0.3190575980238463,1.502076620762341,0.1952716167592422,0.0,0,0,0,1.0,0,2,0.4472135954999579,2.2,1,3,0.6,2.9,2,3,0.3,0,0,0,0,0,0,0,0,2,2,2,0,0.009828662,13,2,0.3250829733914482
XGBRegressor,5,4031,807,806,0.4,4.762945812232298,3.970223325062035,6.203473945,0.8750409528260612,4.762945812232298,3.970223325062035,6.203473945,0.8750409528260612,1,1,0,1.0,0.2016527209255331,4.523173709158043e-06,0.902780517,0.0,1.1917040423123333,0.7086403653453126,1.644995512945718,0.0,0.0,0,0,0,0.4,0,1,0.4898979485566356,0.0,0,0,0.0,0.6,0,1,0.4898979485566356,0,0,0,0,0,0,0,0,0,0,0,0,0.033774279,0,0,0.6730116670092565
HUBERREGRESSOR,5,17280,3456,3456,0.0,5.104166666666666,4.74537037,5.295138888888888,0.1889447652466957,5.104166666666666,4.74537037,5.295138888888888,0.1889447652466957,5,5,0,0.1666666666666666,2.125558859174508,0.00048166,4.400822784,0.5678388578071987,9.354913462,1.0569564213612128,22.945145710426043,2.961902352393308,0.0,0,0,0,2.6,0,5,2.154065922853802,4.2,4,5,0.3999999999999999,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.017801746,0,0,0.6730116670092565
LinearSVR,5,6911,1383,1382,0.4,4.934113114278928,4.052098408104197,5.571635311143271,0.5240857826115601,4.934113114278928,4.052098408104197,5.571635311143271,0.5240857826115601,4,4,0,0.5,0.3394770231023426,0.006274,0.9517789359523192,0.1593084320899675,1.3472348849700355,0.2247357230697426,3.176206199,0.301530801,0.0,0,0,0,4.0,4,4,0.0,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.3902519510878481,0,0,0.0
XGBRegressor,15,24181,1613,1612,0.2494438257849294,4.966717381572491,3.535980148883375,6.389578163771713,0.6939814681739834,4.966717381572491,3.535980148883375,6.389578163771713,0.6939814681739834,2,2,0,0.1666666666666666,0.1935872864044689,1.4382909234486713e-06,1.6268250917816458,0.3241073499791411,1.280995713,0.3250767272263228,1.5031070629837455,0.1665187,0.0,0,0,0,1.2666666666666666,1,2,0.4422166387140533,1.0666666666666669,1,2,0.2494438257849294,2.0,2,2,0.0,0,0,0,0,0,0,0,0,1,1,1,0,0.014878763,4,4,0.3926744672275521
HUBERREGRESSOR,10,13821,1383,1382,0.3,4.920002343947019,4.196816208393632,5.788712011577424,0.5766058335400802,4.920002343947019,4.196816208393632,5.788712011577424,0.5766058335400802,3,3,0,0.1666666666666666,0.069468108,0.058095844,0.094082653,0.006972215,1.206642894536295,0.8490045856712753,1.3004067946443107,0.04436287,0.0,0,0,0,3.0,3,3,0.0,3.0,3,3,0.0,3.0,3,3,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0.3006189482919742,0,0,0.0
LASSO,5,10366,2074,2073,0.3999999999999999,4.871719369344854,4.486251808972503,5.402797877472263,0.337305696,4.871719369344854,4.486251808972503,5.402797877472263,0.337305696,5,4,1,0.5,1.2942629366266805,0.00474867,2.464283769849781,0.3500364656353316,6.066394949357745,1.1087296354151257,11.281236547852222,1.7107305468938157,1.0,1,1,0,3.4,1,4,1.2000000000000002,4.0,4,4,0.0,5.0,5,5,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.06180634,0,0,0.5004024235381879
XGBRegressor,10,27641,2765,2764,0.3,4.974478113068305,4.450072358900145,5.499276410998553,0.3318163327368676,4.974478113068305,4.450072358900145,5.499276410998553,0.3318163327368676,5,5,0,0.1666666666666666,1.898243699200148,0.001026496,4.590339980037227,0.7305027539046178,6.874850473128108,0.042327187,24.23589747,4.318912213994921,0.0,0,0,0,4.5,4,5,0.5,4.0,4,4,0.0,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.1416234800809842,0,0,0.0
LinearSVR,10,34560,3456,3456,0.0,5.026041666666666,4.774305555555555,5.46875,0.2021532230869046,5.026041666666666,4.774305555555555,5.46875,0.2021532230869046,4,4,0,0.1666666666666666,3.178132383025821,0.000262862,5.056440673900065,0.6622770481645944,19.80422314989801,0.04774572,35.795950167494226,3.2178275237746474,0.0,0,0,0,3.1,3,4,0.3,3.2,3,4,0.3999999999999999,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.014906057,0,0,0.0
LinearSVR,10,42041,4205,4204,0.3,4.952306902095394,4.519505233111323,5.423406279733587,0.2937771108440234,4.952306902095394,4.519505233111323,5.423406279733587,0.2937771108440234,9,8,1,0.1666666666666666,1.385644666695666,1.0246615764044165e-05,3.709449590091576,0.5734701246690497,8.751141177037583,0.8429973780803777,19.44301800708452,1.890434158026971,1.0,1,1,0,7.8,5,9,0.9797958971132712,8.0,8,8,0.0,9.0,9,9,0.0,4,4,4,0,2,2,2,0,3,3,3,0,0.023368826,4205,1051,0.3250829733914482
